,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,> 50 microns from soma center,0.41,113.80,2.26,0.34,0.18,3582.00,7603.00,2862.75,6728.00,2846.48,6251.45,1736.00,6230.00,700.34,558.25,11451.00,26912.00,18.00,90.43,67.81,13.24,0.63,0.01
1,> 50 microns from soma center,0.49,114.96,3.02,0.11,0.44,4285.00,8539.00,3768.40,6774.80,3775.34,5385.68,2897.00,5310.00,471.67,1290.71,18842.00,33874.00,22.00,90.86,69.13,13.49,0.67,0.02
2,> 50 microns from soma center,1.70,114.99,4.93,0.09,0.50,6995.00,9971.00,4685.19,6868.31,4694.96,6747.88,797.00,5387.00,1622.74,1221.81,74963.00,109893.00,62.00,90.74,69.34,13.52,0.46,0.07
3,> 50 microns from soma center,0.32,115.37,4.74,0.22,0.45,6553.00,8538.00,4912.50,6870.00,4123.88,6335.66,3364.00,5719.00,1243.99,1046.62,19650.00,27480.00,18.00,90.83,69.65,14.44,0.74,0.01
4,> 50 microns from soma center,1.11,115.83,4.87,0.14,0.55,7418.00,8850.00,4969.70,7077.00,4692.93,6894.25,2736.00,5661.00,1500.57,896.18,49697.00,70770.00,38.00,90.56,70.57,15.31,0.60,0.05
5,> 50 microns from soma center,0.55,115.78,9.49,0.35,0.25,4229.00,7592.00,2535.67,6758.83,2085.31,6502.30,1565.00,5870.00,878.53,677.43,15214.00,40553.00,24.00,90.13,70.88,16.09,0.59,0.02
6,> 50 microns from soma center,0.61,116.01,9.88,0.12,0.63,8932.00,9072.00,4894.14,6890.14,2712.90,6100.88,2099.00,5929.00,2563.61,1071.93,34259.00,48231.00,30.00,89.84,71.37,17.13,0.60,0.02
7,> 50 microns from soma center,0.48,116.51,7.03,0.11,0.44,11611.00,8181.00,6976.00,6704.60,4899.32,5653.73,4873.00,5551.00,2645.20,1210.90,34880.00,33523.00,22.00,89.90,71.94,17.78,0.60,0.01
8,> 50 microns from soma center,1.13,116.43,9.18,0.13,0.80,5667.00,11280.00,3719.27,8464.18,3354.89,7741.31,1721.00,6275.00,1361.49,1638.85,40912.00,93106.00,40.00,89.42,72.32,18.15,0.72,0.07
9,> 50 microns from soma center,0.72,116.16,9.32,0.16,0.55,7392.00,9802.00,4287.40,7511.80,2475.55,6630.13,1748.00,5802.00,2019.47,1343.74,21437.00,37559.00,22.00,89.00,72.22,18.89,0.65,0.03
10,> 50 microns from soma center,5.60,116.36,10.24,0.16,0.78,12660.00,36063.00,5209.38,12395.80,4930.87,10255.10,521.00,6436.00,2078.84,5545.91,458425.00,1090830.00,192.00,88.89,72.77,18.50,0.61,0.60
11,> 50 microns from soma center,7.45,116.84,8.36,0.15,0.77,11774.00,38789.00,4813.32,12296.40,4493.49,10221.00,1244.00,6285.00,2115.51,6076.05,596852.00,1524750.00,274.00,89.17,72.97,19.40,0.57,0.83
12,> 50 microns from soma center,0.18,122.51,9.91,0.39,0.47,4115.00,6359.00,2456.00,6070.33,695.00,5606.00,695.00,5606.00,1398.07,331.56,7368.00,18211.00,14.00,81.14,90.28,16.54,0.71,0.00
