,,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max Ch=1,Intensity Max Ch=2,Intensity Mean Ch=1,Intensity Mean Ch=2,Intensity Median Ch=1,Intensity Median Ch=2,Intensity Min Ch=1,Intensity Min Ch=2,Intensity StdDev Ch=1,Intensity StdDev Ch=2,Intensity Sum Ch=1,Intensity Sum Ch=2,Number of Vertices,Position,,,Sphericity,Volume
ID,Default Labels,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Max,Intensity Mean,Intensity Mean,Intensity Median,Intensity Median,Intensity Min,Intensity Min,Intensity StdDev,Intensity StdDev,Intensity Sum,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
0,Puncta >50 from Soma Center,0.26,174.56,36.04,0.39,0.47,9989.00,4819.00,7100.33,4673.00,3999.00,4421.00,3999.00,4421.00,2450.03,178.94,21301.00,14019.00,14.00,117.96,127.93,13.76,0.85,0.01
1,Puncta >50 from Soma Center,3.90,174.23,38.55,0.28,0.58,19097.00,25280.00,7583.50,10767.90,6813.17,8559.56,599.00,4701.00,4546.32,5420.39,197171.00,279966.00,74.00,119.29,126.06,15.34,0.75,0.47
2,Puncta >50 from Soma Center,0.52,173.24,39.93,0.04,0.98,3657.00,9025.00,2812.67,6165.67,1670.00,4586.00,1670.00,4586.00,838.17,2025.56,8438.00,18497.00,14.00,117.26,126.60,15.27,0.59,0.02
3,Puncta >50 from Soma Center,2.46,169.08,39.42,0.18,0.79,17196.00,15177.00,8714.71,8854.71,7631.04,8186.41,2081.00,4892.00,4484.31,3397.89,122006.00,123966.00,44.00,116.33,121.48,17.23,0.79,0.25
4,Puncta >50 from Soma Center,2.98,173.12,41.18,0.27,0.68,16350.00,14203.00,8218.00,7754.19,8661.75,6832.91,1662.00,4674.00,3394.67,2805.85,172578.00,162838.00,68.00,117.89,125.74,16.21,0.78,0.34
5,Puncta >50 from Soma Center,0.38,171.00,42.40,0.39,0.47,13389.00,6017.00,9235.33,5241.67,7114.00,4130.00,7114.00,4130.00,2937.31,806.24,27706.00,15725.00,14.00,118.13,122.54,16.48,0.76,0.01
6,Puncta >50 from Soma Center,0.67,171.29,64.56,0.28,0.43,22152.00,7042.00,18600.00,5902.67,13606.00,4807.00,13606.00,4807.00,3634.84,912.96,55800.00,17708.00,14.00,117.10,123.95,16.27,0.72,0.03
7,Puncta >50 from Soma Center,0.30,170.01,63.99,0.39,0.47,19421.00,4992.00,17795.00,4779.00,15636.00,4423.00,15636.00,4423.00,1590.52,253.35,53385.00,14337.00,14.00,116.19,122.88,17.37,0.69,0.01
8,Puncta >50 from Soma Center,4.67,171.59,64.35,0.35,0.55,30745.00,24129.00,17411.40,9578.74,16279.20,7996.81,5028.00,5357.00,6992.26,4648.10,470108.00,258626.00,88.00,117.52,123.82,17.33,0.63,0.48
9,Puncta >50 from Soma Center,0.74,170.53,65.47,0.42,0.45,23569.00,5883.00,17330.80,5062.50,15369.90,4454.17,12805.00,4414.00,3510.68,630.77,103985.00,30375.00,24.00,118.25,121.55,18.01,0.75,0.04
10,Puncta >50 from Soma Center,0.63,171.72,66.25,0.41,0.33,7622.00,5225.00,4922.20,4554.80,4048.48,4140.00,1832.00,4140.00,1919.96,488.99,24611.00,22774.00,22.00,118.39,123.18,17.29,0.66,0.03
11,Puncta >50 from Soma Center,2.27,170.96,66.67,0.27,0.56,35638.00,15639.00,24807.80,8753.25,24972.60,7128.78,11260.00,5215.00,7041.34,3032.55,297693.00,105039.00,38.00,117.28,123.04,18.32,0.80,0.23
12,Puncta >50 from Soma Center,2.62,169.78,66.86,0.35,0.55,25331.00,11540.00,12160.70,6798.39,11077.00,5823.24,5391.00,4571.00,4894.89,2035.05,218892.00,122371.00,56.00,117.39,121.18,18.99,0.77,0.27
13,Puncta >50 from Soma Center,1.76,171.52,67.84,0.13,0.60,25404.00,12671.00,17699.20,6705.44,13376.30,5571.44,8298.00,4837.00,6707.88,2379.85,159293.00,60349.00,36.00,118.72,122.29,19.25,0.67,0.12
14,Puncta 40-50 from Soma Center,0.44,146.68,70.97,0.39,0.47,14358.00,5960.00,10206.00,5830.00,6498.00,5692.00,6498.00,5692.00,3224.15,109.56,30618.00,17490.00,14.00,112.46,91.60,21.87,0.87,0.02
15,Puncta >50 from Soma Center,0.98,152.37,68.05,0.12,0.00,29661.00,7388.00,24136.80,6085.75,23540.20,5578.39,17323.00,5182.00,4495.10,832.74,96547.00,24343.00,18.00,115.20,97.70,20.05,0.70,0.05
16,Puncta 40-50 from Soma Center,1.36,153.71,84.21,0.43,0.42,39385.00,9574.00,27157.60,6823.86,16105.20,5542.69,13015.00,4706.00,11340.70,1668.74,190103.00,47767.00,30.00,114.54,100.35,20.95,0.70,0.09
17,Puncta 40-50 from Soma Center,1.84,155.08,84.51,0.43,0.44,18938.00,9919.00,12689.70,7091.40,13983.40,7205.95,4359.00,5684.00,4750.67,1178.98,126897.00,70914.00,36.00,115.07,101.46,22.71,0.77,0.16
18,Puncta 40-50 from Soma Center,0.76,153.32,84.71,0.18,0.82,15430.00,7963.00,10694.30,6209.00,9036.73,5523.73,3216.00,5045.00,5004.45,1107.54,42777.00,24836.00,18.00,113.98,100.52,20.29,0.76,0.04
19,Puncta 30-40 from Soma Center,0.45,153.76,85.26,0.35,0.46,15124.00,5809.00,9732.75,5180.00,7602.06,4941.85,4183.00,4786.00,4161.68,389.72,38931.00,20720.00,18.00,113.70,101.43,20.61,0.73,0.02
20,Puncta 30-40 from Soma Center,5.22,153.63,86.35,0.31,0.57,44777.00,36304.00,23487.20,12060.30,21611.30,8816.30,4434.00,5709.00,11583.90,7223.76,892512.00,458291.00,102.00,113.82,100.94,21.41,0.72,0.68
21,Puncta 30-40 from Soma Center,0.34,147.09,86.58,0.28,0.43,13805.00,6412.00,11184.30,6064.33,6866.00,5765.00,6866.00,5765.00,3076.69,266.34,33553.00,18193.00,14.00,112.54,92.51,20.30,0.68,0.01
22,Puncta 40-50 from Soma Center,3.22,149.28,84.85,0.33,0.44,46105.00,12680.00,22181.50,6574.95,21918.60,5758.29,5899.00,4734.00,10982.90,1914.55,465811.00,138074.00,74.00,113.26,94.96,20.93,0.65,0.28
23,Puncta 30-40 from Soma Center,0.41,149.93,87.52,0.28,0.43,17123.00,6264.00,9903.33,5477.00,6067.00,4725.00,6067.00,4725.00,5108.42,628.78,29710.00,16431.00,14.00,113.65,95.40,21.50,0.73,0.02
24,Puncta 30-40 from Soma Center,0.50,150.40,85.93,0.35,0.46,21742.00,6321.00,15980.80,5177.25,14458.50,4671.43,11824.00,4576.00,3629.56,693.96,63923.00,20709.00,18.00,113.64,96.32,20.71,0.70,0.02
25,Puncta >50 from Soma Center,0.29,151.27,62.68,0.22,0.61,29608.00,4986.00,20840.30,4739.75,19459.80,4679.63,14144.00,4480.00,5569.83,185.10,83361.00,18959.00,18.00,112.49,98.91,21.11,0.71,0.01
26,Puncta 30-40 from Soma Center,4.98,152.43,89.90,0.42,0.45,57256.00,36671.00,27046.30,14312.60,24581.80,11171.70,5302.00,6024.00,14820.70,7454.53,1081850.00,572505.00,94.00,113.20,99.88,21.07,0.79,0.74
27,Puncta 30-40 from Soma Center,0.31,154.17,91.92,0.39,0.47,3619.00,7997.00,2002.67,5749.33,934.00,4595.00,934.00,4595.00,1162.54,1589.53,6008.00,17248.00,14.00,115.38,100.03,21.20,0.81,0.01
28,Puncta 30-40 from Soma Center,0.57,150.82,90.50,0.31,0.00,39873.00,6926.00,26374.30,6239.67,12521.00,5460.00,12521.00,5460.00,11169.20,602.12,79123.00,18719.00,14.00,113.13,97.47,21.15,0.74,0.03
29,Puncta 20-30 from Soma Center,3.71,151.04,91.03,0.30,0.39,43769.00,17199.00,21269.00,7869.55,20163.40,6065.85,5522.00,4588.00,10692.30,3679.98,425380.00,157391.00,76.00,114.20,96.44,21.67,0.52,0.25
30,Puncta 20-30 from Soma Center,0.35,151.83,92.85,0.00,1.92,3014.00,6704.00,1910.00,5802.67,682.00,4829.00,682.00,4829.00,956.06,767.17,5730.00,17408.00,14.00,113.71,98.25,21.60,0.63,0.01
